iso,Stat,Region,zmena_t,prum_srazky_mm_rok,plocha_lesa_ha,spal_plocha_ha
AFG,Afghanistan,Asia,1.11,327.0,515085723.09,3737.91
AGO,Angola,Africa,1.15,1010.0,997938380.14,802703.37
ALB,Albania,Europe,1.65,1485.0,22988297.66,553.79
ARG,Argentina,Americas,0.75,591.0,2224080976.55,1283496.22
ARM,Armenia,Asia,1.61,562.0,23752069.44,1776.87
AUS,Australia,Oceania,1.11,534.0,6150330716.37,6922165.61
AUT,Austria,Europe,2.08,1110.0,67086415.24,599.35
AZE,Azerbaijan,Asia,1.6,447.0,68988260.31,7620.87
BDI,Burundi,Africa,1.22,1274.0,21548251.53,122.84
BEN,Benin,Africa,1.08,1039.0,92338546.76,222174.49
BFA,Burkina Faso,Africa,1.07,748.0,218733685.96,147437.8
BGD,Bangladesh,Asia,0.92,2666.0,111507499.86,409357.4
BGR,Bulgaria,Europe,1.74,608.0,89269847.64,6152.21
BIH,Bosnia and Herzegovina,Europe,1.86,1028.0,40855066.35,28669.33
BLR,Belarus,Europe,2.15,618.0,165655296.7,94226.41
BLZ,Belize,Americas,1.08,1705.0,17497266.97,47339.9
BOL,Bolivia (Plurinational State of),Americas,1.25,1146.0,866714276.56,154206.54
BRA,Brazil,Americas,1.31,1761.0,6800285197.92,3116894.75
BRN,Brunei Darussalam,Asia,1.08,2722.0,4622230.19,585.75
BTN,Bhutan,Asia,1.05,2200.0,31010368.98,32671.79
BWA,Botswana,Africa,1.1,416.0,462307209.67,265242.77
CAN,Canada,Americas,1.32,537.0,7211281167.75,114517.68
CHE,Switzerland,Europe,1.88,1537.0,32996397.13,18.95
CHL,Chile,Americas,0.56,1522.0,605882332.88,247340.21
CHN,China,Asia,1.31,645.0,7505788125.54,5165387.4
CIV,Côte d'Ivoire,Africa,1.26,1348.0,257326352.86,86812.59
CMR,Cameroon,Africa,1.05,1604.0,372832047.12,760749.09
COL,Colombia,Americas,0.89,3240.0,909406999.56,2841056.56
CRI,Costa Rica,Americas,0.93,2926.0,40941334.57,138181.27
CUB,Cuba,Americas,1.12,1335.0,88584976.19,552423.82
DEU,Germany,Europe,1.89,700.0,286270847.9,620.06
ECU,Ecuador,Americas,1.0,2274.0,204892364.07,328.01
ERI,Eritrea,Africa,1.01,384.0,96365865.58,35940.35
ESP,Spain,Europe,1.5,636.0,404834230.73,41774.1
EST,Estonia,Europe,2.09,626.0,36391792.1,226.92
ETH,Ethiopia,Africa,1.27,848.0,903614455.61,5338857.27
FIN,Finland,Europe,2.09,536.0,269551343.93,1478.54
FRA,France,Europe,1.7,867.0,439611980.26,23639.79
GAB,Gabon,Africa,1.08,1831.0,211639759.06,141857.27
GEO,Georgia,Asia,1.52,1026.0,55875659.09,3423.03
GHA,Ghana,Africa,1.16,1187.0,190659304.97,182423.05
GIN,Guinea,Africa,1.45,1651.0,195852853.47,2531260.22
GNB,Guinea-Bissau,Africa,1.8,1577.0,27105640.04,602009.82
GRC,Greece,Europe,1.31,652.0,106060043.29,3197.01
GTM,Guatemala,Americas,1.05,1996.0,87320787.92,377429.44
GUY,Guyana,Americas,1.32,2387.0,167795329.11,111279.59
HND,Honduras,Americas,1.15,1976.0,89831839.18,498651.0
HRV,Croatia,Europe,1.94,1113.0,45662721.79,14009.0
HTI,Haiti,Americas,1.12,1440.0,21685468.7,2857.13
HUN,Hungary,Europe,1.97,589.0,74442109.96,24300.12
IDN,Indonesia,Asia,0.93,2702.0,1512195752.17,187105.14
IND,India,Asia,0.68,1083.0,2522237210.44,9106459.42
IRL,Ireland,Europe,0.95,1118.0,56293153.6,904.41
IRN,Iran (Islamic Republic of),Asia,1.56,228.0,1297391222.23,97352.31
IRQ,Iraq,Asia,1.55,216.0,356286917.55,52079.42
ITA,Italy,Europe,1.64,832.0,240603542.27,6761.72
JAM,Jamaica,Americas,1.19,2051.0,8799839.46,2199.04
JPN,Japan,Asia,0.89,1668.0,297922616.95,84111.65
KAZ,Kazakhstan,Asia,1.55,250.0,2184424289.79,1592166.63
KEN,Kenya,Africa,1.15,630.0,468786685.75,420466.71
KGZ,Kyrgyzstan,Asia,1.25,533.0,158919189.63,7650.61
KHM,Cambodia,Asia,1.06,1904.0,145087686.35,929791.47
