"iso","alert__year","alert__week","burned_area__ha"
"AFG",2014,10,98.41347906314718
"AFG",2014,11,21.839418908575528
"AFG",2015,11,76.56071177003628
"AFG",2015,12,382.78738968213395
"AFG",2016,13,126.46395158812797
"AFG",2017,11,10.929230940456213
"AFG",2018,10,611.2372861992231
"AFG",2018,11,371.11569260939168
"AFG",2018,12,32.75054982424163
"AFG",2018,13,65.61864839888244
"AFG",2020,12,410.4109925092041
"AFG",2021,10,1274.9401320333666
"AFG",2021,11,174.66308637320574
"AFG",2021,12,34.14702676469676
"AFG",2021,13,46.031275575783891
"AGO",2012,10,53491.5046404080790
"AGO",2012,11,25728.9257050641809
"AGO",2012,12,11663.035639474084605
"AGO",2012,13,8742.614579131309696
"AGO",2013,10,3065.557966800532725
"AGO",2013,11,784.1724639021328
"AGO",2013,12,1575.2481137339344
"AGO",2013,13,3608.621248924867129
"AGO",2014,10,12494.02564724469235
"AGO",2014,11,3411.575897529741
"AGO",2014,12,3266.325821906421
"AGO",2014,13,2125.6516633726173
"AGO",2015,11,9075.27257664451387
"AGO",2015,12,17097.12410780789191
"AGO",2015,13,21004.3390690996003
"AGO",2015,14,35073.649442564233004
"AGO",2016,10,6302.681728565522
"AGO",2016,11,16541.303113371145
"AGO",2016,12,11380.2930295179615
"AGO",2016,13,6526.70599955698745
"AGO",2017,10,49075.397739767933357
"AGO",2017,11,13742.65088573865764
"AGO",2017,12,15686.8753800405174
"AGO",2017,13,13144.40657361490278
"AGO",2018,10,71961.830181932679833
"AGO",2018,11,120254.0730615331677
"AGO",2018,12,99464.215713667522
"AGO",2018,13,9781.3529349765642
"AGO",2019,10,9196.411982661601735
"AGO",2019,11,15417.8080702799021
"AGO",2019,12,34503.7527088455360
"AGO",2019,13,31100.364098691313206
"AGO",2020,11,5505.78914157336572
"AGO",2020,12,7860.532486949837
"AGO",2020,13,10600.0037496620228
"AGO",2020,14,11955.260610498243065
"AGO",2021,10,11829.17940058036754
"AGO",2021,11,5271.05561038561722
"AGO",2021,12,7185.919719377406
"AGO",2021,13,6207.86568512975193
"ALB",2014,10,10.413506475858922
"ALB",2014,11,135.38018626153487
"ALB",2019,10,81.57255490097775
"ALB",2019,11,40.78812777626041
"ALB",2019,12,81.576780286251336
"ALB",2019,13,204.05899680271075
"ARE",2018,10,162.52158170359698
"ARE",2018,11,174.90409671963545
"ARE",2018,12,49.97342133083213
"ARG",2012,10,53432.476779551706147
"ARG",2012,11,61055.169377905613796
"ARG",2012,12,56534.454347286285765
"ARG",2012,13,48320.770934874382153
"ARG",2013,10,13366.925622961654065
"ARG",2013,11,7761.496852857994755
