Entity,Code,Year,Average precipitation in depth (mm per year)
Afghanistan,AFG,1962,327
Afghanistan,AFG,1967,327
Afghanistan,AFG,1972,327
Afghanistan,AFG,1977,327
Afghanistan,AFG,1982,327
Afghanistan,AFG,1987,327
Afghanistan,AFG,1992,327
Afghanistan,AFG,1997,327
Afghanistan,AFG,2002,327
Afghanistan,AFG,2007,327
Afghanistan,AFG,2012,327
Afghanistan,AFG,2014,327
Albania,ALB,1962,1485
Albania,ALB,1967,1485
Albania,ALB,1972,1485
Albania,ALB,1977,1485
Albania,ALB,1982,1485
Albania,ALB,1987,1485
Albania,ALB,1992,1485
Albania,ALB,1997,1485
Albania,ALB,2002,1485
Albania,ALB,2007,1485
Albania,ALB,2012,1485
Albania,ALB,2014,1485
Algeria,DZA,1962,89
Algeria,DZA,1967,89
Algeria,DZA,1972,89
Algeria,DZA,1977,89
Algeria,DZA,1982,89
Algeria,DZA,1987,89
Algeria,DZA,1992,89
Algeria,DZA,1997,89
Algeria,DZA,2002,89
Algeria,DZA,2007,89
Algeria,DZA,2012,89
Algeria,DZA,2014,89
Angola,AGO,1962,1010
Angola,AGO,1967,1010
Angola,AGO,1972,1010
Angola,AGO,1977,1010
Angola,AGO,1982,1010
Angola,AGO,1987,1010
Angola,AGO,1992,1010
Angola,AGO,1997,1010
Angola,AGO,2002,1010
Angola,AGO,2007,1010
Angola,AGO,2012,1010
Angola,AGO,2014,1010
Antigua and Barbuda,ATG,1962,1030
Antigua and Barbuda,ATG,1967,1030
Antigua and Barbuda,ATG,1972,1030
Antigua and Barbuda,ATG,1977,1030
Antigua and Barbuda,ATG,1982,1030
Antigua and Barbuda,ATG,1987,1030
Antigua and Barbuda,ATG,1992,1030
Antigua and Barbuda,ATG,1997,1030
Antigua and Barbuda,ATG,2002,1030
Antigua and Barbuda,ATG,2007,1030
Antigua and Barbuda,ATG,2012,1030
Antigua and Barbuda,ATG,2014,1030
Argentina,ARG,1962,591
Argentina,ARG,1967,591
Argentina,ARG,1972,591
Argentina,ARG,1977,591
Argentina,ARG,1982,591
Argentina,ARG,1987,591
Argentina,ARG,1992,591
Argentina,ARG,1997,591
Argentina,ARG,2002,591
Argentina,ARG,2007,591
Argentina,ARG,2012,591
Argentina,ARG,2014,591
Armenia,ARM,1992,562
Armenia,ARM,1997,562
Armenia,ARM,2002,562
Armenia,ARM,2007,562
Armenia,ARM,2012,562
Armenia,ARM,2014,562
Australia,AUS,1962,534
Australia,AUS,1967,534
Australia,AUS,1972,534
Australia,AUS,1977,534
Australia,AUS,1982,534
Australia,AUS,1987,534
Australia,AUS,1992,534
Australia,AUS,1997,534
Australia,AUS,2002,534
Australia,AUS,2007,534
Australia,AUS,2012,534
Australia,AUS,2014,534
Austria,AUT,1962,1110
Austria,AUT,1967,1110
Austria,AUT,1972,1110
Austria,AUT,1977,1110
Austria,AUT,1982,1110
Austria,AUT,1987,1110
Austria,AUT,1992,1110
Austria,AUT,1997,1110
Austria,AUT,2002,1110
Austria,AUT,2007,1110
Austria,AUT,2012,1110
Austria,AUT,2014,1110
Azerbaijan,AZE,1992,447
Azerbaijan,AZE,1997,447
Azerbaijan,AZE,2002,447
Azerbaijan,AZE,2007,447
Azerbaijan,AZE,2012,447
Azerbaijan,AZE,2014,447
Bahamas,BHS,1962,1292
Bahamas,BHS,1967,1292
Bahamas,BHS,1972,1292
Bahamas,BHS,1977,1292
Bahamas,BHS,1982,1292
Bahamas,BHS,1987,1292
Bahamas,BHS,1992,1292
Bahamas,BHS,1997,1292
Bahamas,BHS,2002,1292
Bahamas,BHS,2007,1292
Bahamas,BHS,2012,1292
Bahamas,BHS,2014,1292
Bahrain,BHR,1962,83
Bahrain,BHR,1967,83
Bahrain,BHR,1972,83
Bahrain,BHR,1977,83
Bahrain,BHR,1982,83
Bahrain,BHR,1987,83
Bahrain,BHR,1992,83
Bahrain,BHR,1997,83
Bahrain,BHR,2002,83
Bahrain,BHR,2007,83
Bahrain,BHR,2012,83
Bahrain,BHR,2014,83
Bangladesh,BGD,1962,2666
Bangladesh,BGD,1967,2666
Bangladesh,BGD,1972,2666
Bangladesh,BGD,1977,2666
Bangladesh,BGD,1982,2666
Bangladesh,BGD,1987,2666
Bangladesh,BGD,1992,2666
Bangladesh,BGD,1997,2666
Bangladesh,BGD,2002,2666
Bangladesh,BGD,2007,2666
Bangladesh,BGD,2012,2666
Bangladesh,BGD,2014,2666
Barbados,BRB,1962,1422
Barbados,BRB,1967,1422
Barbados,BRB,1972,1422
Barbados,BRB,1977,1422
Barbados,BRB,1982,1422
Barbados,BRB,1987,1422
Barbados,BRB,1992,1422
Barbados,BRB,1997,1422
Barbados,BRB,2002,1422
Barbados,BRB,2007,1422
Barbados,BRB,2012,1422
Barbados,BRB,2014,1422
Belarus,BLR,1992,618
Belarus,BLR,1997,618
Belarus,BLR,2002,618
Belarus,BLR,2007,618
Belarus,BLR,2012,618
Belarus,BLR,2014,618
Belgium,BEL,1962,847
Belgium,BEL,1967,847
Belgium,BEL,1972,847
Belgium,BEL,1977,847
Belgium,BEL,1982,847
Belgium,BEL,1987,847
Belgium,BEL,1992,847
Belgium,BEL,1997,847
Belgium,BEL,2002,847
Belgium,BEL,2007,847
Belgium,BEL,2012,847
Belgium,BEL,2014,847
Belize,BLZ,1962,1705
Belize,BLZ,1967,1705
Belize,BLZ,1972,1705
Belize,BLZ,1977,1705
Belize,BLZ,1982,1705
Belize,BLZ,1987,1705
Belize,BLZ,1992,1705
Belize,BLZ,1997,1705
Belize,BLZ,2002,1705
Belize,BLZ,2007,1705
Belize,BLZ,2012,1705
Belize,BLZ,2014,1705
Benin,BEN,1962,1039
Benin,BEN,1967,1039
Benin,BEN,1972,1039
Benin,BEN,1977,1039
Benin,BEN,1982,1039
Benin,BEN,1987,1039
Benin,BEN,1992,1039
Benin,BEN,1997,1039
Benin,BEN,2002,1039
Benin,BEN,2007,1039
Benin,BEN,2012,1039
Benin,BEN,2014,1039
Bhutan,BTN,1962,2200
Bhutan,BTN,1967,2200
Bhutan,BTN,1972,2200
Bhutan,BTN,1977,2200
Bhutan,BTN,1982,2200
Bhutan,BTN,1987,2200
Bhutan,BTN,1992,2200
Bhutan,BTN,1997,2200
Bhutan,BTN,2002,2200
Bhutan,BTN,2007,2200
Bhutan,BTN,2012,2200
Bhutan,BTN,2014,2200
Bolivia,BOL,1962,1146
Bolivia,BOL,1967,1146
Bolivia,BOL,1972,1146
Bolivia,BOL,1977,1146
Bolivia,BOL,1982,1146
Bolivia,BOL,1987,1146
Bolivia,BOL,1992,1146
Bolivia,BOL,1997,1146
Bolivia,BOL,2002,1146
Bolivia,BOL,2007,1146
Bolivia,BOL,2012,1146
Bolivia,BOL,2014,1146
Bosnia and Herzegovina,BIH,1992,1028
Bosnia and Herzegovina,BIH,1997,1028
Bosnia and Herzegovina,BIH,2002,1028
Bosnia and Herzegovina,BIH,2007,1028
Bosnia and Herzegovina,BIH,2012,1028
Bosnia and Herzegovina,BIH,2014,1028
Botswana,BWA,1962,416
Botswana,BWA,1967,416
Botswana,BWA,1972,416
Botswana,BWA,1977,416
Botswana,BWA,1982,416
Botswana,BWA,1987,416
Botswana,BWA,1992,416
Botswana,BWA,1997,416
Botswana,BWA,2002,416
Botswana,BWA,2007,416
Botswana,BWA,2012,416
Botswana,BWA,2014,416
Brazil,BRA,1962,1761
Brazil,BRA,1967,1761
Brazil,BRA,1972,1761
Brazil,BRA,1977,1761
Brazil,BRA,1982,1761
Brazil,BRA,1987,1761
Brazil,BRA,1992,1761
Brazil,BRA,1997,1761
Brazil,BRA,2002,1761
Brazil,BRA,2007,1761
Brazil,BRA,2012,1761
Brazil,BRA,2014,1761
Brunei,BRN,1962,2722
Brunei,BRN,1967,2722
Brunei,BRN,1972,2722
Brunei,BRN,1977,2722
Brunei,BRN,1982,2722
Brunei,BRN,1987,2722
Brunei,BRN,1992,2722
Brunei,BRN,1997,2722
Brunei,BRN,2002,2722
Brunei,BRN,2007,2722
Brunei,BRN,2012,2722
Brunei,BRN,2014,2722
Bulgaria,BGR,1962,608
Bulgaria,BGR,1967,608
Bulgaria,BGR,1972,608
Bulgaria,BGR,1977,608
Bulgaria,BGR,1982,608
Bulgaria,BGR,1987,608
Bulgaria,BGR,1992,608
Bulgaria,BGR,1997,608
Bulgaria,BGR,2002,608
Bulgaria,BGR,2007,608
Bulgaria,BGR,2012,608
Bulgaria,BGR,2014,608
Burkina Faso,BFA,1962,748
Burkina Faso,BFA,1967,748
Burkina Faso,BFA,1972,748
Burkina Faso,BFA,1977,748
Burkina Faso,BFA,1982,748
Burkina Faso,BFA,1987,748
Burkina Faso,BFA,1992,748
Burkina Faso,BFA,1997,748
Burkina Faso,BFA,2002,748
Burkina Faso,BFA,2007,748
Burkina Faso,BFA,2012,748
Burkina Faso,BFA,2014,748
Burundi,BDI,1962,1274
Burundi,BDI,1967,1274
Burundi,BDI,1972,1274
Burundi,BDI,1977,1274
Burundi,BDI,1982,1274
Burundi,BDI,1987,1274
Burundi,BDI,1992,1274
Burundi,BDI,1997,1274
Burundi,BDI,2002,1274
Burundi,BDI,2007,1274
Burundi,BDI,2012,1274
Burundi,BDI,2014,1274
Cambodia,KHM,1962,1904
Cambodia,KHM,1967,1904
Cambodia,KHM,1972,1904
Cambodia,KHM,1977,1904
Cambodia,KHM,1982,1904
Cambodia,KHM,1987,1904
Cambodia,KHM,1992,1904
Cambodia,KHM,1997,1904
Cambodia,KHM,2002,1904
Cambodia,KHM,2007,1904
Cambodia,KHM,2012,1904
Cambodia,KHM,2014,1904
Cameroon,CMR,1962,1604
Cameroon,CMR,1967,1604
Cameroon,CMR,1972,1604
Cameroon,CMR,1977,1604
Cameroon,CMR,1982,1604
Cameroon,CMR,1987,1604
Cameroon,CMR,1992,1604
Cameroon,CMR,1997,1604
Cameroon,CMR,2002,1604
Cameroon,CMR,2007,1604
Cameroon,CMR,2012,1604
Cameroon,CMR,2014,1604
Canada,CAN,1962,537
Canada,CAN,1967,537
Canada,CAN,1972,537
Canada,CAN,1977,537
Canada,CAN,1982,537
Canada,CAN,1987,537
Canada,CAN,1992,537
Canada,CAN,1997,537
Canada,CAN,2002,537
Canada,CAN,2007,537
Canada,CAN,2012,537
Canada,CAN,2014,537
Cape Verde,CPV,1962,228
Cape Verde,CPV,1967,228
Cape Verde,CPV,1972,228
Cape Verde,CPV,1977,228
Cape Verde,CPV,1982,228
Cape Verde,CPV,1987,228
Cape Verde,CPV,1992,228
Cape Verde,CPV,1997,228
Cape Verde,CPV,2002,228
Cape Verde,CPV,2007,228
Cape Verde,CPV,2012,228
Cape Verde,CPV,2014,228
Central African Republic,CAF,1962,1343
Central African Republic,CAF,1967,1343
Central African Republic,CAF,1972,1343
Central African Republic,CAF,1977,1343
Central African Republic,CAF,1982,1343
Central African Republic,CAF,1987,1343
Central African Republic,CAF,1992,1343
Central African Republic,CAF,1997,1343
Central African Republic,CAF,2002,1343
Central African Republic,CAF,2007,1343
Central African Republic,CAF,2012,1343
Central African Republic,CAF,2014,1343
Chad,TCD,1962,322
Chad,TCD,1967,322
Chad,TCD,1972,322
Chad,TCD,1977,322
Chad,TCD,1982,322
Chad,TCD,1987,322
Chad,TCD,1992,322
Chad,TCD,1997,322
Chad,TCD,2002,322
Chad,TCD,2007,322
Chad,TCD,2012,322
Chad,TCD,2014,322
Chile,CHL,1962,1522
Chile,CHL,1967,1522
Chile,CHL,1972,1522
Chile,CHL,1977,1522
Chile,CHL,1982,1522
Chile,CHL,1987,1522
Chile,CHL,1992,1522
Chile,CHL,1997,1522
Chile,CHL,2002,1522
